URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/architecture-draftsman/6621351883.html,Architecture / Draftsman,Astoria
https://newyork.craigslist.org/brk/egr/d/immediate-hire-firm-seeking/6621314121.html,IMMEDIATE HIRE - Firm Seeking Junior Architect/Draftsman,Brooklyn
https://newyork.craigslist.org/brx/egr/d/estimator-to-read-public-bids/6621223702.html,Estimator to read public bids,
https://newyork.craigslist.org/brk/egr/d/freelance-experienced-cad/6621013508.html,FREELANCE EXPERIENCED CAD DRAFTER NEEDED: IMMEDIATE HIRE,DOWNTOWN BROOKLYN
https://newyork.craigslist.org/wch/egr/d/civil-engineer-estimator-site/6620955268.html,Civil Engineer Estimator Site Work/Heavy Construction,
https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-2/6620930186.html,NYC DOB Expediter Seeks 2 Filing Rep/Project Manager 70k Starting,All Boroughs
https://newyork.craigslist.org/que/egr/d/hvac-estimator/6620438567.html,HVAC Estimator,Maspeth
https://newyork.craigslist.org/mnh/egr/d/high-end-interior-design-firm/6620435225.html,High-end Interior Design Firm seeks Receptionist,New York
https://newyork.craigslist.org/mnh/egr/d/architecture-student-for/6620376773.html,Architecture Student for assistance w/ Architectural Portfolio Design,Fidi
https://newyork.craigslist.org/mnh/egr/d/project-manager-intake/6620322639.html,Project Manager & Intake Coordinator - Design/Architecture background,Midtown East
https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6620242550.html,Expediting Project Manager,Downtown
https://newyork.craigslist.org/que/egr/d/structural-engineer/6620015759.html,Structural Engineer,
https://newyork.craigslist.org/lgi/egr/d/construction-firm-seeking/6619966585.html,"Construction firm seeking Architects, Engineers, & Estimators",Westbury
https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6619955166.html,Interior Designer/ Draftsman,TriBeCa
https://newyork.craigslist.org/stn/egr/d/architectural-project-manager/6619919823.html,Architectural Project manager,
https://newyork.craigslist.org/mnh/egr/d/estimator-for-window/6619754048.html,Estimator for Window Treatment Company,Midtown East
https://newyork.craigslist.org/brk/egr/d/kitchen-designer-sales/6619625642.html,kitchen Designer & Sales,Gowanus
https://newyork.craigslist.org/mnh/egr/d/architects-project-level/6619501553.html,Architects - Project Level,New York
https://newyork.craigslist.org/mnh/egr/d/project-architect/6619254974.html,Project architect,
